time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2020-09-16 17:38:19.236 UTC, ,250,4248554,13152,1094040,8536, ,332, ,118, , , , , , , , , ,327,44, , , ,300,306,51, ,39, , , , , , , , , , , ,3, , ,21506217438,69070,5941,21506212921,3,4,3,12,83808292,1139826688,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,83808292, ,1599241804796, , , , ,3145728,21506218485, , , ,6,63,120,63, ,63, , ,3,66, , , , ,2, , , , , , , , ,16962,63, , , , , , ,2,15,447503232, , , , , , , ,126, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,38, ,60, , , , , , 
2020-09-16 17:39:19.239 UTC, ,250,4248554,13152,1094040,8536, ,332, ,118, , , , , , , , , ,327,44, , , ,300,306,51, ,39, , , , , , , , , , , ,3, , ,21506231837,69073,3064,21506229336,3,4,2,9,83822691,1141202944,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,83822691, ,1599241804796, , , , ,3145728,21506232986, , , ,4,63,129,63, ,63, , ,3,66, , , , ,2, , , , , , , , ,14501,63, , , , , , ,2,5,462680448, , , , , , , ,126, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,38, ,60, , , , , , 
2020-09-16 17:40:19.240 UTC, ,250,4248554,13152,1094040,8536, ,332, ,130, , , , , , , , , ,327,44, , , ,300,306,51, ,43, , , , , , , , , , , ,3, , ,21506247002,69076,2839,21506244162,3,5,2,11,83837856,1141067776,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,83837856, ,1599241804796, , , , ,3145728,21506247947, , , ,5,63,121,63, ,63, , ,3,66, , , , ,2, , , , , , , , ,14961,63, , , , , , ,3,8,441926160, , , , , , , ,134, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,46, ,60, , , , , , 
2020-09-16 17:41:19.241 UTC, ,250,4248554,13152,1094040,8536, ,332, ,119, , , , , , , , , ,327,44, , , ,300,306,51, ,39, , , , , , , , , , , ,3, , ,21506261852,69079,5998,21506258997,3,4,2,9,83852706,1140965376,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,83852706, ,1599241804796, , , , ,3145728,21506262899, , , ,5,64,129,64, ,64, , ,3,67, , , , ,2, , , , , , , , ,14952,64, , , , , , ,2,11,457735152, , , , , , , ,127, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,38, ,61, , , , , , 
2020-09-16 17:42:19.242 UTC, ,250,4248554,13152,1094040,8536, ,332, ,170, , , , , , , , , ,327,44, , , ,300,306,51, ,85, , , , , , , , , , , ,5, , ,21506283060,69084,2991,21506280068,5,8,2,15,83873914,1140903936,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,83873914, ,1599241804796, , , , ,3145728,21506284005, , , ,3,65,128,65, ,65, , ,3,68, , , , ,2, , , , , , , , ,21106,65, , , , , , ,3,10,407605672, , , , , , , ,182, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,82, ,60, , , , , , 
2020-09-16 17:43:19.242 UTC, ,250,4248554,13152,1094040,8536, ,332, ,119, , , , , , , , , ,327,44, , , ,300,306,51, ,39, , , , , , , , , , , ,3, , ,21506298366,69087,3330,21506295599,3,4,2,9,83889220,1140830208,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,83889220, ,1599241804796, , , , ,3145728,21506299413, , , ,4,64,122,64, ,64, , ,3,67, , , , ,2, , , , , , , , ,15408,64, , , , , , ,2,13,420722672, , , , , , , ,127, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,38, ,61, , , , , , 
2020-09-16 17:44:19.243 UTC, ,250,4248554,13152,1094040,8536, ,332, ,119, , , , , , , , , ,327,44, , , ,300,306,51, ,39, , , , , , , , , , , ,3, , ,21506314227,69090,3105,21506311121,3,5,2,11,83905081,1140760576,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,83905081, ,1599241804796, , , , ,3145728,21506315274, , , ,4,64,119,64, ,64, , ,3,67, , , , ,2, , , , , , , , ,15861,64, , , , , , ,2,9,434337632, , , , , , , ,127, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,38, ,61, , , , , , 
2020-09-16 17:45:19.244 UTC, ,250,4248554,13152,1094040,8536, ,332, ,126, , , , , , , , , ,327,44, , , ,300,306,51, ,39, , , , , , , , , , , ,2, , ,21506326934,69092,6203,21506323550,2,3,2,8,83917788,1140629504,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,83917788, ,1599241804796, , , , ,3145728,21506327981, , , ,3,62,117,62, ,62, , ,3,65, , , , ,2, , , , , , , , ,12707,62, , , , , , ,3,10,415288864, , , , , , , ,128, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,46, ,60, , , , , , 
2020-09-16 17:46:19.245 UTC, ,250,4248554,13152,1094040,8536, ,332, ,127, , , , , , , , , ,327,44, , , ,300,306,51, ,47, , , , , , , , , , , ,5, , ,21506349095,69097,6442,21506345898,5,7,2,13,83939949,1140555776,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,83939949, ,1599241804796, , , , ,3145728,21506350142, , , ,4,66,125,66, ,66, , ,3,69, , , , ,2, , , , , , , , ,22161,66, , , , , , ,2,6,429858432, , , , , , , ,139, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,38, ,61, , , , , , 
2020-09-16 17:47:19.246 UTC, ,250,4248554,13152,1094040,8536, ,332, ,157, , , , , , , , , ,327,44, , , ,300,306,51, ,73, , , , , , , , , , , ,2, , ,21506363619,69099,6618,21506358833,2,2,3,9,83954473,1140432896,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,83954473, ,1599241804796, , , , ,3145728,21506364564, , , ,3,61,112,61, ,61, , ,3,64, , , , ,2, , , , , , , , ,14422,61, , , , , , ,2,6,445633280, , , , , , , ,163, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,82, ,59, , , , , , 
