time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2020-09-17 17:37:20.450 UTC, ,250,4018842,13152,864328,8536, ,241, ,170, , , , , , , , , ,241,43, , , ,210,223,49, ,85, , , , , , , , , , , ,5, , ,25775650054,74817,2771,25775647829,5,7,2,13,58275103,1039167488,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,58275103, ,1599241804796, , , , ,3145728,25775650489, , , ,3,65,116,65, ,65, , ,3,68, , , , ,2, , , , , , , , ,18397,65, , , , , , ,3,12,535522744, , , , , , , ,182, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,82, ,60, , , , , , 
2020-09-17 17:38:20.452 UTC, ,250,4018842,13152,864328,8536, ,241, ,114, , , , , , , , , ,241,43, , , ,210,223,49, ,35, , , , , , , , , , , ,2, , ,25775661629,74819,5861,25775659137,2,3,2,8,58286678,1040572416,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,58286678, ,1599241804796, , , , ,3145728,25775661962, , , ,8,62,123,62, ,62, , ,3,65, , , , ,2, , , , , , , , ,11473,62, , , , , , ,2,10,546897352, , , , , , , ,120, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,38, ,60, , , , , , 
2020-09-17 17:39:20.453 UTC, ,250,4018842,13152,864328,8536, ,241, ,122, , , , , , , , , ,241,43, , , ,210,223,49, ,43, , , , , , , , , , , ,4, , ,25775678129,74823,5376,25775675885,4,5,3,13,58303178,1040498688,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,58303178, ,1599241804796, , , , ,3145728,25775678462, , , ,5,64,126,64, ,64, , ,3,67, , , , ,2, , , , , , , , ,16500,64, , , , , , ,2,5,561563312, , , , , , , ,132, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,38, ,60, , , , , , 
2020-09-17 17:40:20.454 UTC, ,250,4018842,13152,864328,8536, ,241, ,150, , , , , , , , , ,241,43, , , ,210,223,49, ,63, , , , , , , , , , , ,8, , ,25775702855,74831,2436,25775700728,8,12,2,20,58327904,1040355328,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,58327904, ,1599241804796, , , , ,3145728,25775703188, , , ,10,68,122,68, ,68, , ,3,71, , , , ,2, , , , , , , , ,24726,68, , , , , , ,3,11,543006464, , , , , , , ,164, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,46, ,60, , , , , , 
2020-09-17 17:41:20.454 UTC, ,250,4018842,13152,864328,8536, ,241, ,115, , , , , , , , , ,241,43, , , ,210,223,49, ,35, , , , , , , , , , , ,2, , ,25775714234,74833,5763,25775711840,2,3,2,8,58339283,1040297984,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,58339283, ,1599241804796, , , , ,3145728,25775714567, , , ,3,63,110,63, ,63, , ,3,66, , , , ,2, , , , , , , , ,11379,63, , , , , , ,2,6,556703264, , , , , , , ,121, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,38, ,61, , , , , , 
2020-09-17 17:42:20.455 UTC, ,250,4018842,13152,864328,8536, ,241, ,159, , , , , , , , , ,241,43, , , ,210,223,49, ,73, , , , , , , , , , , ,2, , ,25775725673,74835,5895,25775723249,2,3,2,8,58350722,1040207872,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,58350722, ,1599241804796, , , , ,3145728,25775726006, , , ,6,63,120,63, ,63, , ,3,66, , , , ,2, , , , , , , , ,11439,63, , , , , , ,2,6,572487136, , , , , , , ,165, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,82, ,61, , , , , , 
2020-09-17 17:43:20.456 UTC, ,250,4018842,13152,864328,8536, ,241, ,118, , , , , , , , , ,241,43, , , ,210,223,49, ,39, , , , , , , , , , , ,3, , ,25775739626,74838,5337,25775736893,3,5,2,11,58364675,1040142336,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,58364675, ,1599241804796, , , , ,3145728,25775739959, , , ,3,63,118,63, ,63, , ,3,66, , , , ,2, , , , , , , , ,13953,63, , , , , , ,2,10,588552480, , , , , , , ,126, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,38, ,60, , , , , , 
2020-09-17 17:44:20.457 UTC, ,250,4018842,13152,864328,8536, ,241, ,131, , , , , , , , , ,241,43, , , ,210,223,49, ,51, , , , , , , , , , , ,6, , ,25775761181,74844,2367,25775758595,6,9,2,16,58386230,1040064512,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,58386230, ,1599241804796, , , , ,3145728,25775761514, , , ,10,67,139,67, ,67, , ,3,70, , , , ,2, , , , , , , , ,21555,67, , , , , , ,3,10,536822608, , , , , , , ,145, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,38, ,61, , , , , , 
2020-09-17 17:45:20.458 UTC, ,250,4018842,13152,864328,8536, ,241, ,130, , , , , , , , , ,241,43, , , ,210,223,49, ,43, , , , , , , , , , , ,3, , ,25775775275,74847,5736,25775772671,3,4,2,9,58400324,1039945728,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,58400324, ,1599241804796, , , , ,3145728,25775775608, , , ,4,63,118,63, ,63, , ,3,66, , , , ,2, , , , , , , , ,14094,63, , , , , , ,2,12,581416816, , , , , , , ,134, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,46, ,60, , , , , , 
2020-09-17 17:46:20.459 UTC, ,250,4018842,13152,864328,8536, ,241, ,118, , , , , , , , , ,241,43, , , ,210,223,49, ,39, , , , , , , , , , , ,3, , ,25775790562,74850,6724,25775788062,3,4,3,12,58415611,1039863808,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,58415611, ,1599241804796, , , , ,3145728,25775790895, , , ,3,63,122,63, ,63, , ,3,66, , , , ,2, , , , , , , , ,15287,63, , , , , , ,2,7,593995648, , , , , , , ,126, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,38, ,60, , , , , , 
